ID_FILM,TITRE,GENRES,TAGS
103,Rivales,Drame|Thriller,drame thriller
104,Terminagolf,Comédie,comédie
105,Sur la route de Madison,Drame|Romance,drame romance
106,Nobody Loves Me,Documentaire,documentaire
107,L'Île au trésor des Muppets,Action|Aventure|Comédie|Familial|Musique|Romance,action aventure comédie familial musique romance
108,Catwalk,Documentaire,documentaire
110,Braveheart,Action|Drame|Guerre|Histoire,action drame guerre histoire
111,Taxi Driver,Crime|Drame,crime drame
112,Jackie Chan dans le Bronx,Action|Comédie|Crime|Thriller,action comédie crime thriller
113,Le poids du déshonneur,Drame|Mystère|Thriller,drame mystère thriller
116,Anne Frank Remembered,Documentaire|Drame,documentaire drame
117,Le Manuel d'un jeune empoisonneur,Comédie|Crime|Drame,comédie crime drame
118,La fille d'en face,Comédie|Romance,comédie romance
119,Steal Big Steal Little,Comédie|Drame,comédie drame
121,Les Garçons de Saint-Vincent,Drame,drame
122,Boomerang,Comédie|Romance,comédie romance
123,Chungking Express,Comédie|Drame|Romance,comédie drame romance
125,Flirter avec les embrouilles,Comédie,comédie
126,L'Histoire sans fin 3 : Retour à Fantasia,Familial|Fantastique,familial fantastique
128,Jupiter's Wife,Documentaire|Mystère,documentaire mystère
129,Pie in the Sky,, 
132,Jade,Mystère|Thriller,mystère thriller
135,Y a-t-il un commandant pour sauver la Navy ?,Comédie,comédie
137,L'homme de l'année,Comédie|Romance|Thriller,comédie romance thriller
140,Personnel et confidentiel,Drame|Romance,drame romance
141,The Birdcage,Comédie,comédie
144,Les Frères McMullen,Comédie|Drame|Romance,comédie drame romance
145,Bad Boys,Action|Comédie|Crime|Thriller,action comédie crime thriller
146,Au secours du petit panda,Aventure|Drame|Familial,aventure drame familial
147,Basketball Diaries,Crime|Drame,crime drame
148,An Awfully Big Adventure,Comédie|Drame|Romance,comédie drame romance
149,Amateur,Drame,drame
150,Apollo 13,Aventure|Drame|Histoire,aventure drame histoire
151,Rob Roy,Aventure|Drame|Guerre|Histoire,aventure drame guerre histoire
152,The Addiction,Drame|Horreur,drame horreur
153,Batman Forever,Action|Crime|Fantastique,action crime fantastique
155,Rangoon,Drame|Thriller,drame thriller
156,Brooklyn Boogie,Comédie,comédie
157,Canadian Bacon,Comédie,comédie
158,Casper,Comédie|Familial|Fantastique,comédie familial fantastique
159,Clockers,Crime|Drame|Mystère,crime drame mystère
160,Congo,Action|Aventure|Science-Fiction,action aventure science-fiction
161,USS Alabama,Action|Drame|Guerre|Thriller,action drame guerre thriller
162,Crumb,Documentaire,documentaire
163,Desperado,Action|Crime|Thriller,action crime thriller
164,Le Diable en robe bleue,Crime|Drame|Mystère|Thriller,crime drame mystère thriller
165,Une Journée en enfer,Action|Thriller,action thriller
166,The Doom Generation,Action|Comédie|Crime|Drame,action comédie crime drame
168,Lancelot : Le Premier Chevalier,Action|Aventure|Drame|Romance,action aventure drame romance
169,Sauvez Willy 2 : La nouvelle aventure,Aventure|Drame|Familial,aventure drame familial
170,Hackers,Action|Crime|Drame|Thriller,action crime drame thriller
171,Jeffrey,Comédie|Drame|Romance,comédie drame romance
172,Johnny Mnemonic,Action|Aventure|Drame|Science-Fiction|Thriller,action aventure drame science-fiction thriller
173,Judge Dredd,Science-Fiction,science-fiction
174,Jury Duty,Comédie|Drame,comédie drame
175,Spy Kids,Action|Aventure|Comédie|Familial,action aventure comédie familial
176,Ça tourne à Manhattan,Comédie|Drame,comédie drame
177,Le maître des illusions,Fantastique|Horreur,fantastique horreur
178,Love & autres drogues,Comédie|Drame|Romance,comédie drame romance
179,De l'amour à la folie,Drame|Romance,drame romance
180,Les Glandeurs,Comédie|Romance,comédie romance
181,"Power Rangers, le film",Action|Aventure|Familial|Fantastique|Science-Fiction,action aventure familial fantastique science-fiction
183,Témoin muet,Horreur|Thriller,horreur thriller
184,Nadja,Horreur|Thriller,horreur thriller
185,Traque sur Internet,Action|Crime|Drame|Mystère|Thriller,action crime drame mystère thriller
186,Neuf mois aussi,Comédie|Romance,comédie romance
187,Traquenard,Crime|Drame|Romance,crime drame romance
188,Prophecy : Le Monstre,Horreur|Science-Fiction,horreur science-fiction
189,Reckless Kelly,Comédie,comédie
190,Safe,Action|Crime|Thriller,action crime thriller
191,Les Amants du nouveau monde,Drame|Romance,drame romance
193,Showgirls,Drame,drame
194,Smoke,Comédie|Drame,comédie drame
195,Amour et mensonges,Comédie|Drame,comédie drame
196,Espèces menacées,Action|Thriller,action thriller
198,Strange Days,Crime|Drame|Science-Fiction|Thriller,crime drame science-fiction thriller
199,Les Parapluies de Cherbourg,Drame|Romance,drame romance
201,Trois voeux,Drame|Familial|Fantastique,drame familial fantastique
202,Rimbaud Verlaine,Drame|Romance,drame romance
203,Extravagances,Comédie,comédie
204,Piège à grande vitesse,Action|Thriller,action thriller
205,Les liens du souvenir,Comédie|Drame|Familial,comédie drame familial
206,Sex: Unzipped,Comédie,comédie
207,Les vendanges de feu,Drame|Romance,drame romance
208,Waterworld,Action|Aventure|Science-Fiction,action aventure science-fiction
209,White Man,Drame,drame
210,Wild Bill,Drame,drame
211,L'Ombre d'un homme,Drame,drame
212,Max zéro malgré lui,Aventure|Comédie|Familial,aventure comédie familial
213,Soleil trompeur,Drame,drame
214,Before the Rain,Drame,drame
215,Before Sunrise,Drame|Romance,drame romance
216,Billy Madison,Comédie,comédie
217,The Babysitter,Comédie|Horreur,comédie horreur
218,Avec ou sans hommes,Comédie|Drame,comédie drame
219,Le Labyrinthe : Le Remède mortel,Action|Aventure|Science-Fiction|Thriller,action aventure science-fiction thriller
220,Castle Freak,Horreur,horreur
222,Circle of Friends,Drame|Romance,drame romance
223,"Clerks, les employés modèles",Comédie,comédie
224,Don Juan DeMarco,Comédie|Drame|Romance,comédie drame romance
225,Harcèlement,Crime|Drame|Thriller,crime drame thriller
227,Drop Zone,Action|Thriller,action thriller
228,Destiny Turns on the Radio,Comédie|Crime|Fantastique,comédie crime fantastique
229,La jeune fille et la mort,Drame|Mystère|Thriller,drame mystère thriller
230,Dolores Claiborne,Crime|Drame|Mystère,crime drame mystère
231,Dumb & Dumber De,Comédie,comédie
232,"Salé, Sucré",Comédie|Drame|Romance,comédie drame romance
233,Exotica,Drame|Mystère,drame mystère
234,Exit to Eden,Comédie|Crime|Thriller,comédie crime thriller
235,Ed Wood,Comédie|Drame|Histoire,comédie drame histoire
236,French Kiss,Comédie|Romance,comédie romance
237,Oubliez Paris,Comédie|Drame|Romance,comédie drame romance
238,Loin de la maison,Action|Aventure|Drame|Familial,action aventure drame familial
239,Dingo et Max,Animation|Aventure|Comédie|Familial|Romance,animation aventure comédie familial romance
240,Souvenirs de l'au-delà,Drame|Horreur|Thriller,drame horreur thriller
241,Fluke,Aventure|Drame|Familial,aventure drame familial
242,Farinelli,Drame|Histoire,drame histoire
243,Gordy,Drame|Familial|Fantastique,drame familial fantastique
246,Hoop Dreams,Documentaire,documentaire
247,Créatures célestes,Drame|Fantastique,drame fantastique
248,L'invité,Comédie|Familial,comédie familial
249,Ludwig van B.,Drame|Musique|Romance,drame musique romance
250,La colo des gourmands,Comédie|Drame|Familial,comédie drame familial
251,Traqué,Action|Crime|Drame|Thriller,action crime drame thriller
252,L'Amour en équation,Comédie|Drame|Romance,comédie drame romance
253,Entretien avec un vampire,Drame|Fantastique|Horreur,drame fantastique horreur
254,Jefferson à Paris,Drame|Histoire|Romance,drame histoire romance
255,The Jerky Boys,Comédie|Crime,comédie crime
256,Junior,Comédie|Familial|Romance,comédie familial romance
257,Juste Cause,Action|Drame|Mystère|Thriller,action drame mystère thriller
258,Un Visiteur Chez le Roi Arthur,Aventure|Comédie|Familial|Fantastique|Science-Fiction,aventure comédie familial fantastique science-fiction
259,Le Carrefour de la mort,Crime|Drame|Thriller,crime drame thriller
260,Star Wars: Episode IV - A New Hope,Fantastique|Science-Fiction,fantastique science-fiction
261,Les filles du docteur March,Drame|Romance,drame romance
262,La Petite princesse,Drame|Familial|Fantastique,drame familial fantastique
263,Ladybird,Drame,drame
265,Les épices de la passion,Drame|Romance,drame romance
266,Légendes d'automne,Aventure|Drame|Guerre|Romance|Western,aventure drame guerre romance western
267,Major Payne,Aventure|Comédie|Familial,aventure comédie familial
269,Mi Vida Loca,Crime|Drame,crime drame
270,Rendez-vous avec le destin,Drame|Romance,drame romance
271,Losing Isaiah : Les chemins de l'amour,Drame,drame
272,La folie du roi George,Comédie|Drame|Histoire,comédie drame histoire
273,Frankenstein,Drame|Horreur|Romance|Science-Fiction,drame horreur romance science-fiction
274,Garde rapprochée,Action|Comédie,action comédie
275,Joyeux Noël,Comédie|Drame|Romance,comédie drame romance
276,La Surprise,Comédie|Romance,comédie romance
277,Miracle sur la 34ème rue,Comédie|Drame|Familial,comédie drame familial
278,Miami Rhapsody,Comédie|Romance,comédie romance
279,Une Famille sur le Ring,Comédie,comédie
280,Meurtre à Alcatraz,Crime|Drame,crime drame
281,Pas si folle,Comédie|Romance,comédie romance
282,Nell,Drame|Thriller,drame thriller
283,New Jersey Drive,Crime|Drame,crime drame
284,New York Cop,Action|Crime|Drame|Thriller,action crime drame thriller
285,Beyond Bedlam,Horreur,horreur
287,Nina Takes a Lover,Drame|Romance,drame romance
288,Tueurs nés,Crime|Drame|Thriller,crime drame thriller
289,Only You,Comédie|Romance,comédie romance
290,L'Âme des guerriers,Drame,drame
291,Fleur de poison 2: Lily,Drame|Romance|Thriller,drame romance thriller
292,Alerte !,Action|Drame|Science-Fiction|Thriller,action drame science-fiction thriller
294,La famille Perez,Comédie|Drame|Romance,comédie drame romance
295,A Pyromaniac's Love Story,Comédie|Drame|Romance,comédie drame romance
296,Pulp Fiction,Crime|Thriller,crime thriller
298,推手,Comédie|Drame,comédie drame
299,Priest,Action|Horreur|Thriller,action horreur thriller
300,Quiz Show,Drame|Histoire,drame histoire
301,Picture Bride,Drame|Histoire,drame histoire
302,La Reine Margot,Drame|Histoire|Romance,drame histoire romance
303,Mort ou Vif,Action|Thriller|Western,action thriller western
304,Roommates,, 
305,Ready to wear,, 
306,Trois couleurs : Rouge,Drame|Mystère|Romance,drame mystère romance
307,Trois couleurs : Bleu,Drame,drame
308,Trois couleurs : Blanc,Comédie|Drame|Mystère,comédie drame mystère
310,Rent-a-Kid,Comédie|Familial|Téléfilm,comédie familial téléfilm
311,Relative Fear,Drame|Horreur,drame horreur
312,Stuart Saves His Family,Comédie|Drame,comédie drame
313,Le Cygne et la Princesse,Animation|Aventure|Comédie|Familial|Fantastique,animation aventure comédie familial fantastique
314,Le secret de Roan Inish,Drame|Familial|Fantastique,drame familial fantastique
315,L'Expert,Action|Thriller,action thriller
316,Stargate : La Porte des étoiles,Action|Aventure|Science-Fiction,action aventure science-fiction
317,Super Noël,Comédie|Drame|Familial|Fantastique,comédie drame familial fantastique
318,Les Évadés,Crime|Drame,crime drame
319,Petits meurtres entre amis,Crime|Thriller,crime thriller
320,Suture,Drame|Thriller,drame thriller
321,Fraise et Chocolat,Comédie|Drame,comédie drame
322,Swimming with sharks,Comédie|Crime,comédie crime
324,The Sum of Us,Comédie|Drame|Romance,comédie drame romance
325,Alarme Totale,Comédie,comédie
326,24H Limit,Action|Mystère|Science-Fiction|Thriller,action mystère science-fiction thriller
327,Tank Girl,Action|Comédie|Fantastique|Science-Fiction,action comédie fantastique science-fiction
328,Les contes de la crypte - Le cavalier du diable,Comédie|Horreur|Thriller,comédie horreur thriller
329,Star Trek : Générations,Action|Aventure|Science-Fiction|Thriller,action aventure science-fiction thriller
330,Tales from the Hood,Crime|Horreur|Thriller,crime horreur thriller
331,Tom & Jerry,Animation|Comédie|Familial,animation comédie familial
332,Le Village des damnés,Horreur|Science-Fiction|Thriller,horreur science-fiction thriller
333,Tommy Boy,Comédie,comédie
334,"Vanya, 42e rue",Drame,drame
335,À fleur de peau,Crime|Drame|Thriller,crime drame thriller
336,Untitled 'The Walking Dead' Film,Aventure|Drame|Horreur|Science-Fiction,aventure drame horreur science-fiction
337,Gilbert Grape,Drame|Romance,drame romance
338,Programmé pour tuer,Action|Crime|Science-Fiction|Thriller,action crime science-fiction thriller
339,L'Amour à tout prix,Comédie|Romance,comédie romance
340,Avengers : Infinity War,Action|Aventure|Science-Fiction,action aventure science-fiction
341,Double Happiness,Comédie|Drame|Romance,comédie drame romance
342,Muriel,Comédie|Drame|Romance,comédie drame romance
343,Le Club des baby-sitters,Comédie|Drame|Familial,comédie drame familial
344,"Ace Ventura, détective chiens et chats",Aventure|Comédie,aventure comédie
345,"Priscilla, folle du désert",Comédie|Drame,comédie drame
346,Backbeat,Drame|Musique,drame musique
347,Lunes de fiel,Drame|Romance|Thriller,drame romance thriller
348,Coups de feu sur Broadway,Action|Comédie|Thriller,action comédie thriller
349,Danger immédiat,Action|Drame|Thriller,action drame thriller
350,Le Client,Crime|Drame|Mystère|Thriller,crime drame mystère thriller
351,"Corrina, Corrina",Comédie|Drame|Familial|Romance,comédie drame familial romance
352,Crooklyn,Comédie|Drame,comédie drame
353,The Crow,Action|Fantastique|Thriller,action fantastique thriller
354,Cobb,Drame,drame
355,La famille Pierrafeu,Comédie|Familial|Fantastique,comédie familial fantastique
356,Forrest Gump,Comédie|Drame|Romance,comédie drame romance
357,Quatre mariages et un enterrement,Comédie|Drame|Romance,comédie drame romance
358,Fièvre à Columbus University,Crime|Drame|Romance,crime drame romance
359,I Like It Like That,Comédie|Drame|Romance,comédie drame romance
360,Les complices,Comédie|Romance,comédie romance
361,Milliardaire malgré lui,Comédie|Drame|Romance,comédie drame romance
362,Le Livre de la jungle,Animation|Aventure|Familial,animation aventure familial
363,La vie est belle,Drame|Familial|Fantastique,drame familial fantastique
364,Le Roi lion,Animation|Drame|Familial,animation drame familial
365,Little Buddha,Drame|Histoire,drame histoire
366,Freddy sort de la nuit,Fantastique|Horreur|Mystère,fantastique horreur mystère
367,The Mask,Comédie|Crime|Fantastique|Romance,comédie crime fantastique romance
368,Top Gun: Maverick,Action|Drama,action drama
369,Mrs Parker et le Cercle vicieux,Drame,drame
370,Y a-t-il un flic pour sauver Hollywood ?,Comédie|Crime,comédie crime
371,La Face cachée de Margo,Drame|Mystère|Romance,drame mystère romance
372,Génération 90,Comédie|Drame|Romance,comédie drame romance
373,Red Rock West,Crime|Drame|Thriller,crime drame thriller
374,Richie Rich : Meilleurs voeux,Comédie|Familial,comédie familial
376,La Rivière sauvage,Action|Aventure|Crime|Thriller,action aventure crime thriller
377,Need for Speed,Action|Crime|Drame|Thriller,action crime drame thriller
378,"Chérie, vote pour moi",Comédie|Romance,comédie romance
379,Timecop,Action|Crime|Science-Fiction|Thriller,action crime science-fiction thriller
380,"True Lies, le caméléon",Action|Thriller,action thriller
381,Pour l'amour d'une femme,Drame|Romance,drame romance
382,100% loup,Animation|Familial|Fantastique,animation familial fantastique
383,Wyatt Earp,Action|Aventure|Drame|Western,action aventure drame western
384,Bad Company,Action|Aventure|Comédie|Thriller,action aventure comédie thriller
385,A Man of No Importance,Comédie|Drame,comédie drame
386,S.F.W.,Comédie|Drame,comédie drame
387,A Low Down Dirty Shame,Comédie|Crime,comédie crime
388,Bad Boys for Life,Action|Crime|Thriller,action crime thriller
389,Le Colonel Chabert,Drame,drame
390,"Faster, Pussycat! Kill! Kill!",Action|Comédie|Crime,action comédie crime
391,Sang noir,Crime|Drame|Romance,crime drame romance
393,Street Fighter : L'Ultime combat,Action|Aventure|Drame|Science-Fiction|Thriller,action aventure drame science-fiction thriller
405,Highlander 3,Action|Fantastique,action fantastique
406,Federal Hill,, 
407,L'Antre de la folie,Horreur|Mystère|Thriller,horreur mystère thriller
408,Cœur de champion,Drame|Romance|Western,drame romance western
409,Above the Rim,Crime,crime
410,Les Valeurs de la famille Addams,Comédie|Familial|Fantastique,comédie familial fantastique
412,Le Temps de l'innocence,Drame|Romance,drame romance
413,Radio rebels,Comédie|Crime|Musique,comédie crime musique
414,Un joueur à la hauteur,Comédie|Familial,comédie familial
415,Indiscrétion assurée,Action|Comédie|Crime,action comédie crime
416,Les belles de l'ouest,Romance|Western,romance western
417,Vicky Cristina Barcelona,Drame|Romance,drame romance
418,Les mille et une vies d'Hector,Comédie|Drame|Fantastique,comédie drame fantastique
419,Les Allumés de Beverly Hills,Comédie,comédie
420,Le Flic de Beverly Hills 3,Action|Comédie|Crime,action comédie crime
421,Black Beauty,Drame,drame
422,Don't Blink,Horreur,horreur
423,Blown Away,Action|Crime|Drame|Thriller,action crime drame thriller
424,Blue Chips,Drame,drame
425,Blue Sky,Drame|Romance,drame romance
426,Body Snatchers,Horreur|Science-Fiction|Thriller,horreur science-fiction thriller
427,Boxing Helena,Drame|Romance|Thriller,drame romance thriller
428,Il était une fois le Bronx,Crime|Drame,crime drame
429,Cabin Boy,Aventure|Comédie|Fantastique,aventure comédie fantastique
430,Calendar Girl,Comédie|Drame,comédie drame
431,L'Impasse,Crime|Drame|Romance|Thriller,crime drame romance thriller
432,L'Or de Curly,Action|Comédie|Drame|Western,action comédie drame western
433,Trou de mémoire,Comédie|Mystère|Thriller,comédie mystère thriller
434,Cliffhanger : Traque au sommet,Action|Aventure|Thriller,action aventure thriller
435,Têtes De Cône,Comédie|Familial|Science-Fiction,comédie familial science-fiction
436,Color of Night,Drame|Romance|Thriller,drame romance thriller
437,Les nouveaux associés,Comédie|Crime|Familial|Thriller,comédie crime familial thriller
438,Deux Cowboys à New York,Action|Comédie|Western,action comédie western
440,Appelez-moi Dave,Aventure|Comédie|Familial|Science-Fiction,aventure comédie familial science-fiction
441,Génération rebelle,Comédie|Drame,comédie drame
442,Demolition Man,Action|Crime|Science-Fiction,action crime science-fiction
444,Même les cow-girls ont du vague à l'âme,Comédie|Drame|Romance|Western,comédie drame romance western
445,Fatal Instinct,Comédie|Crime|Thriller,comédie crime thriller
446,Adieu ma concubine,Drame,drame
448,Qui a peur des monstres ?,Animation|Comédie|Familial,animation comédie familial
449,Fear of a Black Hat,Comédie,comédie
450,Avec les félicitations du jury,Comédie|Drame,comédie drame
451,Flesh and Bone,Drame|Mystère|Romance,drame mystère romance
452,Parfum de scandale,Comédie|Mystère|Romance|Thriller,comédie mystère romance thriller
453,Le concierge du Bradbury,Comédie|Romance,comédie romance
454,La Firme,Drame|Mystère|Thriller,drame mystère thriller
455,Sauvez Willy,Aventure|Drame|Familial,aventure drame familial
456,Fresh,Comédie|Horreur|Thriller,comédie horreur thriller
457,Le Fugitif,Action|Drame|Thriller,action drame thriller
458,Géronimo,Histoire|Western,histoire western
459,Getaway,Action|Crime,action crime
460,"Rends la monnaie, papa",Comédie|Crime|Familial,comédie crime familial
461,Plouf ! Petit poisson courageux,Animation|Aventure|Familial,animation aventure familial
464,Chasse à l'homme,Action,action
466,Hot Shots ! 2,Action|Comédie|Guerre,action comédie guerre
467,Live Nude Girls,Comédie,comédie
468,L'Anglais qui gravit une colline mais descendit une montagne,Comédie|Drame|Romance,comédie drame romance
469,La Maison aux Esprits,Drame|Romance,drame romance
470,House Party 3,Comédie,comédie
471,Le grand saut,Comédie|Drame,comédie drame
472,La Petite Star,Comédie|Drame,comédie drame
473,"En avant, les recrues !",Comédie,comédie
474,Dans la ligne de mire,Action|Crime|Drame|Mystère|Thriller,action crime drame mystère thriller
475,Au nom du père,Drame,drame
476,The Inkwell,Comédie|Drame|Romance,comédie drame romance
477,Tina,Drame,drame
478,Jimmy Hollywood,Comédie,comédie
479,La Nuit du jugement,Action|Crime|Thriller,action crime thriller
480,Jurassic Park,Aventure|Science-Fiction,aventure science-fiction
481,Kalifornia,Crime|Thriller,crime thriller
482,Killing Zoe,Action|Crime|Drame|Thriller,action crime drame thriller
484,Lassie : La route de l'aventure,Aventure|Familial,aventure familial
485,Last Action Hero,Action|Aventure|Comédie|Familial|Fantastique,action aventure comédie familial fantastique
486,Graine de star,Comédie|Familial,comédie familial
487,Jack l'Éclair,Comédie|Western,comédie western
488,M. Butterfly,Drame|Romance,drame romance
489,Made in America,Comédie,comédie
490,Malice,Thriller,thriller
491,L'Homme sans visage,Drame,drame
492,Meurtre mystérieux à Manhattan,Comédie|Mystère,comédie mystère
493,Menace II Society,Crime|Drame,crime drame
494,Ultime Décision,Action|Aventure|Drame|Thriller,action aventure drame thriller
495,In the Realm of the Senses: Recalling the Film,Documentaire,documentaire
496,What Happened Was...,Comédie|Drame|Romance,comédie drame romance
497,Beaucoup de bruit pour rien,Comédie|Drame|Romance,comédie drame romance
499,Mr. Wonderful,Comédie|Romance,comédie romance
500,Madame Doubtfire,Comédie|Drame|Familial,comédie drame familial
501,Naked,Comédie,comédie
502,Miss Karaté Kid,Action|Aventure|Drame|Familial,action aventure drame familial
504,No Escape,Thriller,thriller
505,L'irrésistible North,Comédie|Drame|Familial|Fantastique|Science-Fiction,comédie drame familial fantastique science-fiction
506,Orlando,Drame|Fantastique,drame fantastique
507,Un monde parfait,Crime|Drame|Thriller,crime drame thriller
508,Philadelphia,Drame,drame
509,La Leçon de piano,Drame|Romance,drame romance
510,Poetic Justice,Drame|Romance,drame romance
511,Princess Protection Program : Mission Rosalinda,Comédie|Drame|Familial|Téléfilm,comédie drame familial téléfilm
512,Les Maîtres du monde,Horreur|Science-Fiction|Thriller,horreur science-fiction thriller
513,Radioland Murders,Comédie|Crime|Drame|Musique|Mystère|Romance,comédie crime drame musique mystère romance
514,Tel est pris qui croyait prendre,Comédie|Crime|Drame,comédie crime drame
515,Les Vestiges du jour,Drame|Romance,drame romance
516,Opération Shakespeare,Comédie,comédie
517,Soleil levant,Action|Drame|Thriller,action drame thriller
518,Aux bons soins du docteur Kellogg,Comédie|Romance,comédie romance
519,RoboCop 3,Action|Aventure|Crime|Science-Fiction|Thriller,action aventure crime science-fiction thriller
520,Sacré Robin des bois,Comédie,comédie
521,Romeo Is Bleeding,Crime,crime
522,Romper Stomper,Action|Drame|Thriller,action drame thriller
523,Ruby in Paradise,Drame|Romance,drame romance
524,Rudy,Drame|Histoire,drame histoire
526,Les Nuits fauves,Drame,drame
527,La Liste de Schindler,Drame|Guerre|Histoire,drame guerre histoire
528,Le dernier samaritain,Action|Thriller,action thriller
529,À la recherche de Bobby Fischer,Drame,drame
531,Le Jardin secret,Drame|Familial|Fantastique,drame familial fantastique
532,Serial mother,Comédie|Crime|Thriller,comédie crime thriller
533,Shadow in the Cloud,Action|Guerre|Horreur,action guerre horreur
534,Les Ombres du cœur,Drame|Romance,drame romance
535,Short Cuts,Comédie|Drame,comédie drame
536,Le cadeau du ciel,Comédie|Familial,comédie familial
537,Sirènes,Comédie|Drame,comédie drame
